秋熙,4 星,从容这件事，一旦做过头就有迟钝的嫌疑。史诗范很好啊，但是至少对受众的预期应该高点，结尾的回忆实在画蛇添足。本子真心赞，演员也无可挑剔，就是闲笔太多，毕竟不是长度成就教父高度的呀亲~
浮影人生,4 星,"黑！少见的一黑到底的类型片。摄影、音乐超棒,血腥戏视觉冲击极强,虽然影片长达134分钟，但情节紧张、紧凑，虽然个别场景略拖沓，但未影响全片的可看性。前半部分像极了韩版《无间道》，尤其人物内心在黑白间挣扎几近崩溃；中间仓库一场戏又是韩版《落水狗》。但影片后半程过于夸大了一代枭雄的能力。"
mmmaladies,4 星,走心。
arters',5 星,韩国电影好评一个
我的化学罗曼史,4 星,自作孽不可活啊。
leweizhang,5 星,单纯的黑帮 卑劣的警察 所以李政宰利用黑帮的单纯 警察的卑劣走上了最高的地位
弗坦斯,4 星,这是无间道的超级加强版啊
sleeptu,3 星,前半部分节奏拖沓，后半段很不错。大叔演技张弛有度，政宰基本就是耍酷了。
贝塔先生,4 星,我又看了一部韩国黑帮片。
潜意识,4 星,都说是韩国版无间道+黑社会。比起港片的厚重的人文情怀，韩国黑帮片则是简单明了阐述黑白世界里男人之间的情和义。紧凑，痛快，张力十足，演员的表演和配乐烘托加分。细节不够缜密，节奏有快有慢，但依然完胜北爷的极恶非道2。PS：确定饰演丁青的不是杜德伟？！
Celesteblanco,4 星,韩国电影这十来年好像突然开窍了一样，继承了几十年前香港黑帮片的气质，然后把它发扬光大。连《无间道》这种神片也能学得这么像。p.s：从《艋舺》到《新世界》，这么多纯爷们儿的电影都能被你们看出基情来，还能不能跟你们一起玩耍了。
完颜穆尔登格,5 星,"港产无间道经典，美版翻拍无间风云差了一大档次，但是韩版居然另辟蹊径！
兄弟基情、暴力斗争，整个节奏紧张好看，李政宰演技爆发。
最不合整片风格的是搞笑的延边老棒子，每次出场害我嘎嘎大笑，威武的延边朝鲜族在韩国电影里已经是固定样板了。"
窥窗桃枝,4 星,节奏上不大对，前四十分钟有点拖，但还是挺好看的，尤其喜欢这个结尾。看这个戏的时候我处处有种透过镜头看港片的熟悉感，加上推倒旧世界建立新世界的超验骇客和延边旗兵均来自中国，我简直不知道该用什么样的表情来面对这部戏。
靜ル靜靜,4 星,演技很好啊！就是很好
加长凯迪拉克扎蝴蝶结,5 星,韩版黑社会。
宅猫,4 星,今年的片子里已经算是出彩的影片，但是还是达不到无间道的高度…无间道更注重刻画人物入微的心态，这里似乎仅仅是兄弟情，此外宋智孝的角色也有点多余。
Foley,4 星,本来我以为是《无间道》，接着我觉得是《扫毒》，看到后来才发现，原来还他妈是《无间道》。崔岷植=黄秋生，李政宰=梁朝伟+刘德华，还有莫言老师还是《熔炉》里的猥琐校长真的比较适合您。
ccinn,3 星,三星半，如果我没看过无间道没看过黑社会肯定给四星，如果没有最后的结局给两星半。
杉爷,5 星,虽然看完了好几天但是迟迟不能写评论。又是陷入电影情绪几天出不来系列。实在棒！绝不拖泥带水，韩国电影中不叨逼叨实属罕见！！兄弟之情有好多细节越回味越觉得动人，这种剧情真的不腐不行啊。。。好想体会一下男人所谓兄弟是种怎样的感情。无需多言——我一直认为是男人最大的美德之一。十颗星！
羊男的乌鸦,4 星,"叱吒风云 我任意闯万众仰望，
叱吒风云 我绝不需往后看。
一开始以为是无间道，人最狠的 是对自己的无间道……"
代我白头,4 星,线索过多，人物情感不够饱满，但很好看，黄强势，崔酱油，李弱了点。
疯狂的二狗,4 星,好爽！
科学家种太阳,5 星,超越了无间道。。。
王福,4 星,哪儿有金允石～
x,3 星,比较一般
蜗牛,5 星,"好催人泪下的爱情，两个深情男人的新世界！
李政宰潇洒且无他的那一挡，黄政民临死前担心的是怕再也看不到他了。怕他自己活着，对方怎么办。真的好催人泪下！"
🌙e-L°。,4 星,老大
茕茕白兔,1 星,浓郁的港片气息+韩剧的温吞节奏=《卧虎》升级版  猜到了结局，在丁青断气那刻
elimu💤,4 星,我看动画看太多了…喝多了脑子也不太好用…片子很紧密剧情很赞演技也赞音乐感觉还不够总之全都挺好适合男孩子看
刀尖舔蜜,5 星,五星是给黄政民的 丁青大哥！
Riobluemoon,5 星,8分。与其说类似《无间道》，还不如说更像《黑社会2：以和为贵》。只不过古天乐最后是被逼上位，而本片男猪则干脆斩尽杀绝。整个故事布局合理，情节紧凑，尽管早猜到最后结局，但看片过程依然很过瘾。黄政民好象梁家辉扮演的大B，气场强大，让人难忘，几乎喧宾夺主地掩盖了李政宰的光芒～～
Alfie,4 星,五星的剧情、剪片和配乐，唯一后腿的是李政宰的表现配不上另三位男主，演技好的快赶上周杰伦了吧。。。
八月,4 星,韩版《无间道》，所以最后的大BOSS李政宰才是大赢家，结尾的设定好NB！
